bestEpoch=2	 MRR = 0.2558	 Hit@5=0.3358	 NDCG@5=0.2535	 dataset=./DataProcess/Tmall/天猫购买sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=2	 MRR = 0.2523	 Hit@5=0.3092	 NDCG@5=0.2449	 dataset=./DataProcess/Tmall/天猫收藏sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=2	 MRR = 0.1266	 Hit@5=0.1229	 NDCG@5=0.1057	 dataset=./DataProcess/Tmall/天猫加购sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=12	 MRR = 0.1266	 Hit@5=0.1397	 NDCG@5=0.1126	 dataset=./DataProcess/Tmall/天猫加购sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=2	 MRR = 0.3468	 Hit@5=0.4591	 NDCG@5=0.354	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=4	 MRR = 0.3514	 Hit@5=0.4648	 NDCG@5=0.3589	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=12	 MRR = 0.3523	 Hit@5=0.4691	 NDCG@5=0.3606	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=26	 MRR = 0.3563	 Hit@5=0.4664	 NDCG@5=0.3626	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=30	 MRR = 0.3561	 Hit@5=0.4704	 NDCG@5=0.364	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=34	 MRR = 0.358	 Hit@5=0.4697	 NDCG@5=0.3651	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=42	 MRR = 0.3715	 Hit@5=0.4707	 NDCG@5=0.3752	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=44	 MRR = 0.3776	 Hit@5=0.465	 NDCG@5=0.3777	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=46	 MRR = 0.3789	 Hit@5=0.4674	 NDCG@5=0.3798	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=48	 MRR = 0.3911	 Hit@5=0.4684	 NDCG@5=0.389	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=50	 MRR = 0.3932	 Hit@5=0.4688	 NDCG@5=0.3906	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=54	 MRR = 0.3979	 Hit@5=0.4653	 NDCG@5=0.3934	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=56	 MRR = 0.4009	 Hit@5=0.4682	 NDCG@5=0.3966	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
